word_freq,n
wine,143
flavor,131
fruit,98
palat,79
aroma,73
blend,72
red,70
cherri,63
tannin,61
acid,61
finish,59
cabernet,59
drink,56
dri,54
black,51
ripe,49
sauvignon,48
rich,45
chardonnay,45
oak,42
spice,37
berri,36
fresh,34
note,34
offer,32
pinot,31
textur,31
blackberri,30
now,30
plum,29
show,28
white,27
balanc,26
noir,25
pepper,25
structur,25
age,24
light,24
soft,23
sweet,23
nose,23
bright,22
year,22
dark,22
wood,21
vanilla,21
raspberri,21
appl,21
charact,20
firm,20
full,20
fruiti,19
merlot,19
pear,19
chocol,19
miner,18
juici,18
spici,18
complex,18
touch,18
will,18
good,18
concentr,17
just,17
bottl,17
herb,17
citrus,16
peach,16
eleg,16
toast,15
sangioves,15
blanc,15
bordeauxstyl,15
feel,14
bring,14
open,14
tannic,14
hint,14
delici,14
make,14
leather,13
intens,13
clove,13
smooth,13
syrah,13
currant,13
come,13
littl,13
crisp,13
rosa,12
accent,12
lead,12
savori,12
like,12
style,12
tast,12
herbal,12
lemon,12
franc,12
give,12
malbec,12
well,12
along,12
one,11
floral,11
fine,11
licoric,11
power,11
layer,11
green,11
vintag,11
tart,10
round,10
enjoy,10
bodi,10
cassi,10
solid,10
nice,10
although,10
develop,10
readi,10
better,10
made,10
tight,10
honey,10